Title,Analysis,keywords,result
"[하이빔]전기차 혁명, 영역 파괴는 시작됐다","제목: [하이빔]전기차 혁명, 영역 파괴는 시작됐다  
키워드: 전기차, 혁명, 영역 파괴, 시작  
결과: 긍정  
","제목: [하이빔]전기차 혁명, 영역 파괴는 시작됐다  
",": 전기차, 혁명, 영역 파괴, 시작  
결과: 긍정  
"
예전의 '아이오닉'은 잊어라..속까지 '진짜' 전기차가 온다,"제목: 예전의 '아이오닉'은 잊어라..속까지 '진짜' 전기차가 온다  
키워드: 아이오닉, 진짜, 전기차  
결과: 부정","제목: 예전의 '아이오닉'은 잊어라..속까지 '진짜' 전기차가 온다  
",": 아이오닉, 진짜, 전기차  
결과: 부정"
"푸조 전기차 e-208, 탈수록 주행가능거리가 늘어난다?","제목: 푸조 전기차 e-208, 탈수록 주행가능거리가 늘어난다?  
키워드: 푸조, 전기차, e-208, 주행가능거리, 긍정적 기대  
결과: 긍정","제목: 푸조 전기차 e-208, 탈수록 주행가능거리가 늘어난다?  
",": 푸조, 전기차, e-208, 주행가능거리, 긍정적 기대  
결과: 긍정"
EU 환경규제 내년 대폭 강화..전기차 대중화 '액셀' 밟나,"제목: EU 환경규제 내년 대폭 강화..전기차 대중화 '액셀' 밟나  
키워드: EU, 환경규제, 대폭 강화, 전기차, 대중화, 액셀  
결과: 긍정  ","제목: EU 환경규제 내년 대폭 강화..전기차 대중화 '액셀' 밟나  
",": EU, 환경규제, 대폭 강화, 전기차, 대중화, 액셀  
결과: 긍정  "
"'유럽 1등' 르노 전기차 '조에', 한국에서 먹힐까","제목: '유럽 1등' 르노 전기차 '조에', 한국에서 먹힐까  
키워드: 유럽 1등, 르노, 전기차, 조에, 한국, 먹힐까  
결과: 부정","제목: '유럽 1등' 르노 전기차 '조에', 한국에서 먹힐까  
",": 유럽 1등, 르노, 전기차, 조에, 한국, 먹힐까  
결과: 부정"
"기아차, 전기차·모빌리티 양대축 키운다","제목: 기아차, 전기차·모빌리티 양대축 키운다  
키워드: 기아차, 전기차, 모빌리티, 양대축, 키운다  
결과: 긍정  ","제목: 기아차, 전기차·모빌리티 양대축 키운다  
",": 기아차, 전기차, 모빌리티, 양대축, 키운다  
결과: 긍정  "
전기차 플랫폼 연구 '한우물'..지역 수평 협력네트워크 이끈다,"제목: 전기차 플랫폼 연구 '한우물'..지역 수평 협력네트워크 이끈다  
키워드: 전기차, 플랫폼 연구, 지역, 협력 네트워크  
결과: 긍정","제목: 전기차 플랫폼 연구 '한우물'..지역 수평 협력네트워크 이끈다  
",": 전기차, 플랫폼 연구, 지역, 협력 네트워크  
결과: 긍정"
'무법천지'된 전기차 주차장..일반차 주차해도 속수무책,"제목: 무법천지된 전기차 주차장..일반차 주차해도 속수무책  
키워드: 무법천지, 전기차, 주차장, 일반차, 속수무책  
결과: 부정  ","제목: 무법천지된 전기차 주차장..일반차 주차해도 속수무책  
",": 무법천지, 전기차, 주차장, 일반차, 속수무책  
결과: 부정  "
올해 글로벌 출시를 앞둔 전기차 10종,"제목: 올해 글로벌 출시를 앞둔 전기차 10종  
키워드: 글로벌, 출시, 전기차  
결과: 긍정","제목: 올해 글로벌 출시를 앞둔 전기차 10종  
",": 글로벌, 출시, 전기차  
결과: 긍정"
"'올해 유일 모터쇼' 열린 베이징, 화두는 전기차","제목: 올해 유일 모터쇼 열린 베이징, 화두는 전기차  
키워드: 유일, 모터쇼, 베이징, 화두, 전기차  
결과: 긍정","제목: 올해 유일 모터쇼 열린 베이징, 화두는 전기차  
",": 유일, 모터쇼, 베이징, 화두, 전기차  
결과: 긍정"
바이든 2천조 '그린뉴딜'에 K-배터리·전기차 준비됐나?,"제목: 바이든 2천조 '그린뉴딜'에 K-배터리·전기차 준비됐나?  
키워드: 바이든, 그린뉴딜, K-배터리, 전기차, 준비  
결과: 중립적 (질문 형식으로 긍정적 또는 부정적 판단이 명확하지 않음)","제목: 바이든 2천조 '그린뉴딜'에 K-배터리·전기차 준비됐나?  
",": 바이든, 그린뉴딜, K-배터리, 전기차, 준비  
결과: 중립적 (질문 형식으로 긍정적 또는 부정적 판단이 명확하지 않음)"
[시승기] 아우디는 첫 전기차 e-트론을 어떻게 만들었나,"제목: [시승기] 아우디는 첫 전기차 e-트론을 어떻게 만들었나  
키워드: 아우디, 첫 전기차, e-트론, 시승기  
결과: 중립  
","제목: [시승기] 아우디는 첫 전기차 e-트론을 어떻게 만들었나  
",": 아우디, 첫 전기차, e-트론, 시승기  
결과: 중립  
"
"'전기차 황제' 머스크, 왜 상하이서 재킷 벗어던지고 막춤췄나","제목: '전기차 황제' 머스크, 왜 상하이서 재킷 벗어던지고 막춤췄나  
키워드: 머스크, 전기차, 상하이, 재킷, 막춤  
결과: 긍정","제목: '전기차 황제' 머스크, 왜 상하이서 재킷 벗어던지고 막춤췄나  
",": 머스크, 전기차, 상하이, 재킷, 막춤  
결과: 긍정"
테슬라·벤츠 잡을 제네시스 첫 '전기차 전용 SUV' 내년 6월 양산,"제목: 테슬라·벤츠 잡을 제네시스 첫 '전기차 전용 SUV' 내년 6월 양산  
키워드: 테슬라, 벤츠, 제네시스, 전기차, SUV, 양산  
결과: 긍정","제목: 테슬라·벤츠 잡을 제네시스 첫 '전기차 전용 SUV' 내년 6월 양산  
",": 테슬라, 벤츠, 제네시스, 전기차, SUV, 양산  
결과: 긍정"
"미국차도 유럽차도, ""전기차는 이르니 하이브리드부터""","제목: 미국차도 유럽차도, ""전기차는 이르니 하이브리드부터""  
키워드: 전기차, 하이브리드, 이르니  
결과: 부정  ","제목: 미국차도 유럽차도, ""전기차는 이르니 하이브리드부터""  
",": 전기차, 하이브리드, 이르니  
결과: 부정  "
코로나19에도 훨훨 나는 전기차,"제목: 코로나19에도 훨훨 나는 전기차  
키워드: 코로나19, 전기차, 훨훨, 성장  
결과: 긍정","제목: 코로나19에도 훨훨 나는 전기차  
",": 코로나19, 전기차, 훨훨, 성장  
결과: 긍정"
'초소형'이 소형보다 비싸다?..이상한 전기차 보조금,"제목: '초소형'이 소형보다 비싸다?..이상한 전기차 보조금  
키워드: 초소형, 소형, 비싸다, 이상한, 전기차, 보조금  
결과: 부정  ","제목: '초소형'이 소형보다 비싸다?..이상한 전기차 보조금  
",": 초소형, 소형, 비싸다, 이상한, 전기차, 보조금  
결과: 부정  "
'1억' 럭셔리 전기차 승자는?..'완판' 아우디 웃었다,"제목: '1억' 럭셔리 전기차 승자는?..'완판' 아우디 웃었다  
키워드: 럭셔리, 전기차, 완판, 아우디, 웃었다  
결과: 긍정","제목: '1억' 럭셔리 전기차 승자는?..'완판' 아우디 웃었다  
",": 럭셔리, 전기차, 완판, 아우디, 웃었다  
결과: 긍정"
"LG전자, 캐나다 마그나와 전기차 파워트레인 합작사 세운다(종합)","제목: LG전자, 캐나다 마그나와 전기차 파워트레인 합작사 세운다(종합)  
키워드: LG전자, 캐나다, 마그나, 전기차, 파워트레인, 합작사  
결과: 긍정  ","제목: LG전자, 캐나다 마그나와 전기차 파워트레인 합작사 세운다(종합)  
",": LG전자, 캐나다, 마그나, 전기차, 파워트레인, 합작사  
결과: 긍정  "
미래 전기차 주도권 달렸다..SK·LG '피터지게' 싸우는 이유,"제목: 미래 전기차 주도권 달렸다..SK·LG '피터지게' 싸우는 이유  
키워드: 미래, 전기차, 주도권, SK, LG, 싸우는  
결과: 부정 (경쟁과 싸움의 맥락이 부정적인 감정을 유발)","제목: 미래 전기차 주도권 달렸다..SK·LG '피터지게' 싸우는 이유  
",": 미래, 전기차, 주도권, SK, LG, 싸우는  
결과: 부정 (경쟁과 싸움의 맥락이 부정적인 감정을 유발)"
"쌍용 첫 전기차 'E100', 부활의 '전기충격기' 될까","제목: 쌍용 첫 전기차 'E100', 부활의 '전기충격기' 될까  
키워드: 쌍용, 전기차, E100, 부활, 전기충격기  
결과: 긍정 (부활과 전기충격기라는 표현에서 기대감이 느껴짐)","제목: 쌍용 첫 전기차 'E100', 부활의 '전기충격기' 될까  
",": 쌍용, 전기차, E100, 부활, 전기충격기  
결과: 긍정 (부활과 전기충격기라는 표현에서 기대감이 느껴짐)"
"유럽·중국, 전기차 배터리 공세 확대..'K-배터리'에도 부담","제목: 유럽·중국, 전기차 배터리 공세 확대..'K-배터리'에도 부담  
키워드: 유럽, 중국, 전기차, 배터리, K-배터리, 압박  
결과: 부정","제목: 유럽·중국, 전기차 배터리 공세 확대..'K-배터리'에도 부담  
",": 유럽, 중국, 전기차, 배터리, K-배터리, 압박  
결과: 부정"
테슬라의 질주와 한국 전기차의 미래[동아 시론/이상근],"제목: 테슬라의 질주와 한국 전기차의 미래  
키워드: 테슬라, 질주, 한국 전기차, 미래  
결과: 긍정 (미래에 대한 기대감을 나타내는 긍정적인 어조)","제목: 테슬라의 질주와 한국 전기차의 미래  
",": 테슬라, 질주, 한국 전기차, 미래  
결과: 긍정 (미래에 대한 기대감을 나타내는 긍정적인 어조)"
탈원전에 충전료 4배 인상.. 전기차가 뒤집어졌다,"제목: 탈원전에 충전료 4배 인상.. 전기차가 뒤집어졌다  
키워드: 탈원전, 충전료, 인상, 전기차, 뒤집어짐  
결과: 부정  ","제목: 탈원전에 충전료 4배 인상.. 전기차가 뒤집어졌다  
",": 탈원전, 충전료, 인상, 전기차, 뒤집어짐  
결과: 부정  "
"푸조 ""언제까지 주행거리 따질래? 전기차도 예뻐야지""","제목: 푸조 ""언제까지 주행거리 따질래? 전기차도 예뻐야지""  
키워드: 주행거리, 전기차, 예쁨  
결과: 긍정 ","제목: 푸조 ""언제까지 주행거리 따질래? 전기차도 예뻐야지""  
",": 주행거리, 전기차, 예쁨  
결과: 긍정 "
세계는 '전기차 배터리' 전쟁..韓·中·獨 유럽서 격돌,"제목: 세계는 '전기차 배터리' 전쟁..韓·中·獨 유럽서 격돌  
키워드: 전기차, 배터리, 전쟁, 한국, 중국, 독일, 유럽  
결과: 부정 (전쟁이라는 단어가 갈등을 암시)","제목: 세계는 '전기차 배터리' 전쟁..韓·中·獨 유럽서 격돌  
",": 전기차, 배터리, 전쟁, 한국, 중국, 독일, 유럽  
결과: 부정 (전쟁이라는 단어가 갈등을 암시)"
"""전기차 판매 2036년 내연차 앞지른다""..변수는 저유가","제목: 전기차 판매 2036년 내연차 앞지른다""..변수는 저유가  
키워드: 전기차, 판매, 내연차, 저유가  
결과: 긍정  ","제목: 전기차 판매 2036년 내연차 앞지른다""..변수는 저유가  
",": 전기차, 판매, 내연차, 저유가  
결과: 긍정  "
車산업 인프라 적극 활용 '전기차 메카' 꿈꾼다,"제목: 車산업 인프라 적극 활용 '전기차 메카' 꿈꾼다  
키워드: 전기차, 인프라, 적극 활용, 꿈  
결과: 긍정  ","제목: 車산업 인프라 적극 활용 '전기차 메카' 꿈꾼다  
",": 전기차, 인프라, 적극 활용, 꿈  
결과: 긍정  "
"전기차株, 비트코인처럼 널뛰기","제목: 전기차株, 비트코인처럼 널뛰기  
키워드: 전기차, 주식, 비트코인, 널뛰기  
결과: 부정적","제목: 전기차株, 비트코인처럼 널뛰기  
",": 전기차, 주식, 비트코인, 널뛰기  
결과: 부정적"
"코로나19 이후 전기차 시장 성장, 왜?","제목: 코로나19 이후 전기차 시장 성장, 왜?

키워드: 코로나19, 전기차, 시장, 성장

결과: 긍정","제목: 코로나19 이후 전기차 시장 성장, 왜?

",": 코로나19, 전기차, 시장, 성장

결과: 긍정"
전기차는 늘어나는데..충전 인프라 확충은 '느릿',"- 제목: 전기차는 늘어나는데..충전 인프라 확충은 '느릿'
- 키워드: 전기차, 충전 인프라, 늘어나다, 느릿
- 결과: 부정적인 감성 (전기차의 긍정적인 증가에도 불구하고 충전 인프라의 느린 확충이 부정적인 인상을 줌)","- 제목: 전기차는 늘어나는데..충전 인프라 확충은 '느릿'
- ",": 전기차, 충전 인프라, 늘어나다, 느릿
- 결과: 부정적인 감성 (전기차의 긍정적인 증가에도 불구하고 충전 인프라의 느린 확충이 부정적인 인상을 줌)"
"국내 전기차 판매 톱5, 1위는 '코나 일렉트릭'","제목: 국내 전기차 판매 톱5, 1위는 '코나 일렉트릭'  
키워드: 국내, 전기차, 판매, 톱5, 코나 일렉트릭  
결과: 긍정","제목: 국내 전기차 판매 톱5, 1위는 '코나 일렉트릭'  
",": 국내, 전기차, 판매, 톱5, 코나 일렉트릭  
결과: 긍정"
양산차 제조사의 전기차는 일반 자동차보다 성능이 낮을까?,"제목: 양산차 제조사의 전기차는 일반 자동차보다 성능이 낮을까?  
키워드: 양산차, 전기차, 성능, 일반 자동차  
결과: 부정적","제목: 양산차 제조사의 전기차는 일반 자동차보다 성능이 낮을까?  
",": 양산차, 전기차, 성능, 일반 자동차  
결과: 부정적"
"""유럽 기준 -100km""..한국 오면 짧아지는 '전기차 주행거리'의 비밀","제목: 유럽 기준 -100km""..한국 오면 짧아지는 '전기차 주행거리'의 비밀  
키워드: 유럽, 기준, 전기차, 주행거리, 짧아지는, 비밀  
결과: 부정  ","제목: 유럽 기준 -100km""..한국 오면 짧아지는 '전기차 주행거리'의 비밀  
",": 유럽, 기준, 전기차, 주행거리, 짧아지는, 비밀  
결과: 부정  "
"전기차 트럭, 테슬라도 팔 걷었지만 ""완충 2시간"" 차주들 허탈","제목: 전기차 트럭, 테슬라도 팔 걷었지만 ""완충 2시간"" 차주들 허탈  
키워드: 전기차, 트럭, 테슬라, 완충, 허탈  
결과: 부정","제목: 전기차 트럭, 테슬라도 팔 걷었지만 ""완충 2시간"" 차주들 허탈  
",": 전기차, 트럭, 테슬라, 완충, 허탈  
결과: 부정"
"""미래 생존 희망은 전기차""..중국서 '합종연횡' 치열","제목: ""미래 생존 희망은 전기차""..중국서 '합종연횡' 치열  
키워드: 미래, 생존, 희망, 전기차, 중국, 합종연횡, 치열  
결과: 긍정  

해설: ""미래"", ""생존"", ""희망"" 등의 단어가 긍정적인 감정을 유발하며, 전기차에 대한 기대감을 나타내고 있습니다. ""치열""은 경쟁이나 활동성을 의미하지만, 전체적으로 긍정적인 맥락에서 해석됩니다.","제목: ""미래 생존 희망은 전기차""..중국서 '합종연횡' 치열  
",": 미래, 생존, 희망, 전기차, 중국, 합종연횡, 치열  
결과: 긍정  

해설: ""미래"", ""생존"", ""희망"" 등의 단어가 긍정적인 감정을 유발하며, 전기차에 대한 기대감을 나타내고 있습니다. ""치열""은 경쟁이나 활동성을 의미하지만, 전체적으로 긍정적인 맥락에서 해석됩니다."
"잘 나가는 전기차, 몇 명이 만들어요?..친환경차 시대 일자리는?","제목: 잘 나가는 전기차, 몇 명이 만들어요?..친환경차 시대 일자리는?

키워드: 전기차, 친환경차, 일자리, 만들다

결과: 중립적 분석 - 제목은 전기차의 인기와 일자리와 관련된 질문을 제기하고 있어 감정적인 긍정이나 부정을 나타내지 않습니다.","제목: 잘 나가는 전기차, 몇 명이 만들어요?..친환경차 시대 일자리는?

",": 전기차, 친환경차, 일자리, 만들다

결과: 중립적 분석 - 제목은 전기차의 인기와 일자리와 관련된 질문을 제기하고 있어 감정적인 긍정이나 부정을 나타내지 않습니다."
[친절한 경제] 미세먼지 내뿜는 이륜차..초소형 전기차가 답?,"제목: [친절한 경제] 미세먼지 내뿜는 이륜차..초소형 전기차가 답?  
키워드: 미세먼지, 이륜차, 초소형 전기차  
결과: 중립적(문제 제기와 해결 방안 제시)  ","제목: [친절한 경제] 미세먼지 내뿜는 이륜차..초소형 전기차가 답?  
",": 미세먼지, 이륜차, 초소형 전기차  
결과: 중립적(문제 제기와 해결 방안 제시)  "
배터리는 10일이 분수령..전기차 확산 원년인데 '발 동동',"제목: 배터리는 10일이 분수령..전기차 확산 원년인데 '발 동동'  
키워드: 배터리, 전기차, 확산, 분수령, 발 동동  
결과: 부정","제목: 배터리는 10일이 분수령..전기차 확산 원년인데 '발 동동'  
",": 배터리, 전기차, 확산, 분수령, 발 동동  
결과: 부정"
"애플 전기차 ""만든다 vs 안 만든다""..갑론을박 [김현석의 월스트리트나우]","제목: 애플 전기차 ""만든다 vs 안 만든다""..갑론을박 [김현석의 월스트리트나우]  
키워드: 애플, 전기차, 만든다, 안 만든다, 갑론을박  
결과: 중립적  

이 제목에서는 애플의 전기차 생산 여부를 두고 의견이 나뉘고 있다는 내용을 다루고 있어 긍정적 또는 부정적인 감정을 전달하기보다는 정보를 제공하는 중립적인 성격을 가지고 있습니다.","제목: 애플 전기차 ""만든다 vs 안 만든다""..갑론을박 [김현석의 월스트리트나우]  
",": 애플, 전기차, 만든다, 안 만든다, 갑론을박  
결과: 중립적  

이 제목에서는 애플의 전기차 생산 여부를 두고 의견이 나뉘고 있다는 내용을 다루고 있어 긍정적 또는 부정적인 감정을 전달하기보다는 정보를 제공하는 중립적인 성격을 가지고 있습니다."
"전기차 빅뱅..2020년을 잡는 자, 모빌리티의 미래 주도한다","제목: 전기차 빅뱅..2020년을 잡는 자, 모빌리티의 미래 주도한다  
키워드: 전기차, 빅뱅, 미래, 모빌리티  
결과: 긍정","제목: 전기차 빅뱅..2020년을 잡는 자, 모빌리티의 미래 주도한다  
",": 전기차, 빅뱅, 미래, 모빌리티  
결과: 긍정"
[사설]검토 필요한 전기차 충전요금,"제목: [사설]검토 필요한 전기차 충전요금  
키워드: 검토, 전기차, 충전요금  
결과: 부정","제목: [사설]검토 필요한 전기차 충전요금  
",": 검토, 전기차, 충전요금  
결과: 부정"
'전기차 시대' 대전환기에 던져진 묵직한 질문들,"제목: '전기차 시대' 대전환기에 던져진 묵직한 질문들  
키워드: 전기차, 대전환기, 묵직한 질문  
결과: 부정적  

이 제목은 '묵직한 질문들'이라는 표현에서 부정적인 뉘앙스를 담고 있으며, 전기차 시대의 과거와 현재의 도전과제를 암시합니다.","제목: '전기차 시대' 대전환기에 던져진 묵직한 질문들  
",": 전기차, 대전환기, 묵직한 질문  
결과: 부정적  

이 제목은 '묵직한 질문들'이라는 표현에서 부정적인 뉘앙스를 담고 있으며, 전기차 시대의 과거와 현재의 도전과제를 암시합니다."
"""전기차, 탄력받다 말아""..할인 종료 '설상가상'","제목: 전기차, 탄력받다 말아..할인 종료 '설상가상'  
키워드: 전기차, 탄력, 할인 종료, 설상가상  
결과: 부정  ","제목: 전기차, 탄력받다 말아..할인 종료 '설상가상'  
",": 전기차, 탄력, 할인 종료, 설상가상  
결과: 부정  "
[분석] 주행거리 변화 없이 출시된 2020년형 코나 전기차,"제목: [분석] 주행거리 변화 없이 출시된 2020년형 코나 전기차  
키워드: 주행거리, 변화, 출시, 2020년형, 코나 전기차  
결과: 부정","제목: [분석] 주행거리 변화 없이 출시된 2020년형 코나 전기차  
",": 주행거리, 변화, 출시, 2020년형, 코나 전기차  
결과: 부정"
"바이든 시대 대세는 전기차?..서학개미, 관련주 1천억 사들여","제목: 바이든 시대 대세는 전기차?..서학개미, 관련주 1천억 사들여  
키워드: 바이든, 전기차, 대세, 서학개미, 관련주, 1천억  
결과: 긍정","제목: 바이든 시대 대세는 전기차?..서학개미, 관련주 1천억 사들여  
",": 바이든, 전기차, 대세, 서학개미, 관련주, 1천억  
결과: 긍정"
"GM, '얼티엄' 배터리·차세대플랫폼 공개..전기차 공략 강화","제목: GM, '얼티엄' 배터리·차세대플랫폼 공개..전기차 공략 강화  
키워드: GM, 얼티움, 배터리, 차세대 플랫폼, 전기차, 공략, 강화  
결과: 긍정","제목: GM, '얼티엄' 배터리·차세대플랫폼 공개..전기차 공략 강화  
",": GM, 얼티움, 배터리, 차세대 플랫폼, 전기차, 공략, 강화  
결과: 긍정"
"테슬라 모델 3, 상반기 국산 전기차 모두 제쳤다","제목: 테슬라 모델 3, 상반기 국산 전기차 모두 제쳤다  
키워드: 테슬라, 모델 3, 국산 전기차, 제쳤다  
결과: 긍정","제목: 테슬라 모델 3, 상반기 국산 전기차 모두 제쳤다  
",": 테슬라, 모델 3, 국산 전기차, 제쳤다  
결과: 긍정"
"""금지"" vs ""허용""..아파트 전기차 충전구역 '주차 논란' 가열","제목: ""금지"" vs ""허용""..아파트 전기차 충전구역 '주차 논란' 가열  
키워드: 금지, 허용, 아파트, 전기차, 충전구역, 주차, 논란  
결과: 중립 (상반된 의견이 존재하며 논란을 나타내고 있어 긍정적이지도 부정적이지도 않음)","제목: ""금지"" vs ""허용""..아파트 전기차 충전구역 '주차 논란' 가열  
",": 금지, 허용, 아파트, 전기차, 충전구역, 주차, 논란  
결과: 중립 (상반된 의견이 존재하며 논란을 나타내고 있어 긍정적이지도 부정적이지도 않음)"
"수천억 보조금 수혜..테슬라 전기차, 한국시장 쓸어간다","제목: 수천억 보조금 수혜..테슬라 전기차, 한국시장 쓸어간다  
키워드: 보조금, 테슬라, 전기차, 한국시장  
결과: 긍정  ","제목: 수천억 보조금 수혜..테슬라 전기차, 한국시장 쓸어간다  
",": 보조금, 테슬라, 전기차, 한국시장  
결과: 긍정  "
전기차 정기검사 때 배터리 확인..정비책임자 교육 의무화,"제목: 전기차 정기검사 때 배터리 확인..정비책임자 교육 의무화  
키워드: 전기차, 정기검사, 배터리, 정비책임자, 교육, 의무화  
결과: 중립적  

해석: 이 제목은 전기차의 정기검사와 관련된 단순한 정보 전달을 목적으로 하고 있으며, 긍정적이거나 부정적인 감정을 드러내지 않습니다.","제목: 전기차 정기검사 때 배터리 확인..정비책임자 교육 의무화  
",": 전기차, 정기검사, 배터리, 정비책임자, 교육, 의무화  
결과: 중립적  

해석: 이 제목은 전기차의 정기검사와 관련된 단순한 정보 전달을 목적으로 하고 있으며, 긍정적이거나 부정적인 감정을 드러내지 않습니다."
"전경련 ""전기차 경쟁 심화..충전인프라 확충·자원개발 나서야""","제목: 전경련 ""전기차 경쟁 심화..충전인프라 확충·자원개발 나서야""  
키워드: 전기차, 경쟁, 충전인프라, 자원개발  
결과: 부정","제목: 전경련 ""전기차 경쟁 심화..충전인프라 확충·자원개발 나서야""  
",": 전기차, 경쟁, 충전인프라, 자원개발  
결과: 부정"
"아이폰 만드는 폭스콘, '전기차'도 만든다..삼성·LG는?","제목: 아이폰 만드는 폭스콘, '전기차'도 만든다..삼성·LG는?  
키워드: 폭스콘, 전기차, 아이폰, 삼성, LG  
결과: 중립적 (특정 긍정/부정 감정을 나타내지 않음)  ","제목: 아이폰 만드는 폭스콘, '전기차'도 만든다..삼성·LG는?  
",": 폭스콘, 전기차, 아이폰, 삼성, LG  
결과: 중립적 (특정 긍정/부정 감정을 나타내지 않음)  "
테슬라보다 뜨거운 중국 전기차 주가..이달 230%↑ '거품' 논란,"제목: 테슬라보다 뜨거운 중국 전기차 주가..이달 230%↑ '거품' 논란  
키워드: 중국 전기차, 주가, 거품, 테슬라, 230%  
결과: 부정  ","제목: 테슬라보다 뜨거운 중국 전기차 주가..이달 230%↑ '거품' 논란  
",": 중국 전기차, 주가, 거품, 테슬라, 230%  
결과: 부정  "
"""코나 전기차 13대가 불에 탔다.. 못 밝히나 안 밝히나?""","제목: 코나 전기차 13대가 불에 탔다.. 못 밝히나 안 밝히나?  
키워드: 코나 전기차, 불, 사고  
결과: 부정  ","제목: 코나 전기차 13대가 불에 탔다.. 못 밝히나 안 밝히나?  
",": 코나 전기차, 불, 사고  
결과: 부정  "
