Title,Analysis
전기차 인기인데 보조금 남아돈다…'기현상' 벌어진 까닭,"키워드: 전기차 인기/보조금 남아돈다/기현상  
결과: 긍정/부정/부정"
'수리비 폭탄' 전기차 배터리..묻지마 교체 막는다,"키워드 / 결과  
수리비 폭탄 / 부정  
전기차 배터리 / 중립  
묻지마 교체 / 부정  "
"토요타, 전기차보다 하이브리드 밀고있는 이유","키워드: 토요타/전기차/하이브리드  
결과: 부정"
"바이든 ""전기차 미국내 생산"" 거듭 강조..차별 해소 장기화하나(종합)","키워드: 바이든/전기차/미국내 생산/차별 해소  
결과: 긍정/부정/긍정/부정"
인기 전기차 품귀… 내년까지 밀렸다,"키워드: 인기/품귀/내년까지 밀렸다  
결과: 부정"
"세계 완성차업계, 배터리·반도체 부족에 전기차 수요 못 따라가","키워드: 배터리/반도체 부족/전기차 수요  
결과: 부정"
"도요타, 전동화 전략 대대적 수정…하이브리드-전기차 놓고 갈팡질팡?","키워드: 도요타/전동화 전략/대대적 수정/하이브리드/전기차/갈팡질팡  
결과: 부정"
"중국서 전기차 업계 뜨거운 판촉 경쟁..할인, 보험료 지원","키워드: 중국/전기차/판촉 경쟁/할인/보험료 지원  
결과: 긍정"
"전기차 화재 위험, 과대평가 vs 과소평가?",키워드: 전기차 화재 위험 / 결과: 부정
"'대륙의 실수' '샤오미', 전기차 도전은 '진짜' 실수?","키워드: 대륙의 실수/샤오미/전기차 도전/진짜 실수  
결과: 부정"
<오후여담>高비용 전기차,키워드: 高비용 / 결과: 부정
"중국 전기차 비야디, 상반기 순이익 3배로 증가","키워드/결과  
중국 전기차 비야디, 상반기, 순이익/긍정"
전기차 확산 막아선 대외 불확실성,"키워드: 전기차/확산/대외 불확실성  
결과: 부정"
"정부, IRA 전기차 세액공제 관련 의견서 美 정부에 제출(종합)","키워드: 정부/IRA 전기차 세액공제/의견서/美 정부/제출  
결과: 긍정"
"""보조금 잡아라"" 니로부터 코란도‧볼트까지 '전기차 풍년'",키워드: 전기차 풍년 / 결과: 긍정
"美 전기차 보조금 축소..""현대차 해법, 이것밖에 없다""","키워드: 전기차 보조금 축소/현대차 해법  
결과: 부정"
전기차 배터리 카르텔 생기나…호주 리튬·인니 니켈 동맹 추진,"키워드: 전기차/배터리/카르텔/호주/리튬/인니/니켈/동맹  
결과: 부정"
"전기료 치솟는 유럽, 전기차 유지비가 휘발유보다 비싸","키워드: 전기료 치솟는 유럽 / 전기차 유지비 / 휘발유보다 비싸  
결과: 부정"
"바이든, 'IRA 조정' 가능성 첫 시사…한국 전기차 차별 해소되나","키워드: 바이든/IRA 조정/한국 전기차 차별  
결과: 부정"
"""대세면 뭐합니까""..전기차 대신 하이브리드 찾는 이유","키워드: 대세면 뭐합니까/전기차/하이브리드/이유  
결과: 부정"
주유소에도 전기차 충전기..공원서 자율주행로봇 배달(종합),"키워드: 전기차 충전기/자율주행 로봇 배달  
결과: 긍정"
노란색 미러·동그란 디스플레이..'미니' 감성 담은 전기차,"키워드: 노란색 미러/동그란 디스플레이/'미니'/전기차  
결과: 긍정  "
전기료 오르고 충전소 여전히 부족…전기차는 미래인가?,"키워드: 전기료/충전소/부족/전기차/미래  
결과: 부정"
"전기차 차별 대응에 새로운 전략..""미국에 논란 만들겠다""","키워드 / 결과  
전기차, 차별, 대응, 새로운 전략, 미국, 논란 / 부정"
수입전기차 잘 나가는데…전동화 더딘 '르쌍쉐' 존재감 없어,"키워드: 수입전기차/잘 나가는데/전동화 더딘/르쌍쉐/존재감 없어  
결과: 부정"
'HEV·PHEV·BEV' 다양한 전기차..어떤 차이 있을까,키워드: HEV·PHEV·BEV / 결과: 중립
"미 전기차 보조금 준다지만..""이미 부유층 전유물""",키워드: 미 전기차 보조금/결과: 부정
"""휘발유 비싸지고 전기차 보조금 줄고""…새해 달라지는 것들","키워드: 휘발유/비싸지고/전기차/보조금/줄고  
결과: 부정"
"현대차그룹, 美 30만대 전기차 공장 기공식..2025년 양산(종합)","키워드: 현대차그룹/미국/전기차/공장/기공식/양산  
결과: 긍정"
전기차도 '덩치' 경쟁…'고급·대형화' 바람 분다,"키워드 / 결과  
전기차, 덩치, 경쟁, 고급, 대형화 / 긍정"
"오스카 음악상 한스 치머, 전기차를 악기로 삼다",키워드: 한스 치머/전기차/악기 / 결과: 긍정
[美중간선거] 의회 권력변화에 '한국 전기차 차별' 인플레法 달라질까,키워드: 한국 전기차 차별 / 결과: 부정
보조금 없어도..'고가 전기차' 판매 질주,"키워드: 보조금/고가 전기차/판매 질주  
결과: 긍정"
"美 전기차 시장 악재 현대차그룹, 역대급 실적 이어갈까","키워드: 美 전기차 시장 악재/ 현대차그룹/ 역대급 실적  
결과: 부정/ 긍정/ 긍정"
일부러 소음 넣고 덜컹거리게… 기름차 느낌 내는 전기차,"키워드: 소음/덜컹거리게/기름차/느낌/전기차  
결과: 부정"
일단 '살아남고' 보자..'전기차 올인' 힘 조절,"키워드: 살아남고/전기차 올인/힘 조절  
결과: 부정/긍정/부정"
"'역풍 직면' 中 전기차 스타트업 삼총사, 질주 멈출까","키워드: 역풍, 전기차, 스타트업, 질주 멈출까 / 결과: 부정"
"전기차 화재 매년 증가..정우택 ""진압장비 부족, 대응책 시급""",키워드: 전기차 화재/결과: 부정
세계 1위 전기차 업체는 어디? 테슬라를 제쳤다고?[딥다이브],"키워드: 전기차/업체/테슬라/제쳤다  
결과: 부정"
주유기 옆에 전기차 충전기?..미래차 충전 인프라 확충 가속도(종합),"키워드 / 결과  
주유기, 전기차, 충전기, 미래차, 충전 인프라 / 긍정"
전기차 충전소 지하에 ‘속속’…화재 대비는 ‘무방비’,"키워드: 전기차 충전소/속속/화재 대비/무방비  
결과: 부정"
"""72시간 물 뿌려야.."" 속수무책 전기차 화재, 대안 시급","키워드 / 결과  
전기차 화재 / 부정  "
"이륜차의 땅 동남아, 전기차의 전쟁터로","키워드: 이륜차/전기차/전쟁터  
결과: 부정"
"""美, 11월 중간선거 뒤 전기차 원산지 규정 유연 적용 가능성""","키워드 / 결과  
美, 11월 중간선거, 전기차 원산지 규정, 유연 적용 가능성 / 부정"
충전·유지비·화재…한파에 드러난 전기차 3대 민낯,"키워드: 충전/유지비/화재/한파/전기차  
결과: 부정"
전기차 수리비 폭탄 피하려면..특약으로 부담 줄여야,키워드: 전기차 수리비/결과: 부정
"바이든 ""미국산 전기차에 보조금""..연일 인플레감축법 홍보(종합)",키워드: 바이든/ 미국산 전기차/ 보조금/ 인플레감축법 / 결과: 긍정
"美·EU 전기차 보조금 해법 논의 속도?..美 ""문제 해결 확신""",키워드: 전기차 보조금/ 결과: 긍정
美 중간선거 D-1...현대차그룹 '전기차 보조금' 향배는?,"키워드: 美 중간선거/ 현대차그룹/ 전기차 보조금  
결과: 중립"
"美재무부, 전기차 세액공제 지침 마련 중..한국 입장 반영될까","키워드: 美재무부/전기차 세액공제/지침 마련/한국 입장  
결과: 중립"
"유럽 전기차 시장에 먹구름…""주유보다 비싸진 충전""",키워드: 유럽 전기차 시장/결과: 부정
"현대차, G80 롱휠베이스 전기차 공개…G20 정상 차량으로 지원","키워드 / 결과  
현대차, G80 롱휠베이스 전기차 공개, G20 정상 차량으로 지원 / 긍정"
아이오닉6·EV6 GT 북미 첫선···달아오르는 미국 전기차 시장,키워드: 아이오닉6·EV6 GT/결과: 긍정
"전기차 충돌 직후 800℃ ‘열폭주’…모서리 박으면 더 위험, 왜","키워드: 전기차 충돌/열폭주/위험  
결과: 부정"
"한국, 전기차 수출 세계 4위..1~3위는 독일·미국·중국","키워드: 한국/전기차 수출/세계 4위  
결과: 긍정"
"전기차, '인포테인먼트' 품고 뉴노멀車 될까","키워드: 전기차/인포테인먼트/뉴노멀차  
결과: 긍정"
"""내년엔 보조금 폐지, 빨리 사자""…中, 전기차 불티나게 팔렸다","키워드: 보조금 폐지/전기차 불티나게 팔렸다  
결과: 부정/긍정"
떠오르는 동남아 전기차 시장 한중일 각축전,"키워드: 떠오르는/동남아/전기차/시장/한중일/각축전  
결과: 긍정"
[시승기] 맘놓고 오래 달려도 걱정없는 전기차..현대차 아이오닉6,"키워드: 전기차/아이오닉6/걱정없는/오래 달려도  
결과: 긍정"
[시론] 빠르게 다가오는 '전기차 혁명',"키워드/결과  
전기차 혁명/긍정"
"""아이오닉6 살까? EV6 GT 살까?""..하반기 전기차 몰려온다","키워드: 아이오닉6/EV6 GT/하반기 전기차  
결과: 긍정"
"다마스 라보 빠진 경상용차, 中 전기차 장악","키워드: 다마스 라보/경상용차/中 전기차 장악  
결과: 부정"
"'순식간에 1,000도'...전기차 화재 진압 장비 도입","키워드: 전기차/화재/진압/장비  
결과: 부정"
[시승기] 전기차 가능성을 봤다…르노 XM3 이테크 하이브리드,"키워드 / 결과  
시승기 / 긍정  
전기차 / 긍정  
가능성 / 긍정  
르노 XM3 / 긍정  
하이브리드 / 긍정"
"숄츠 다녀간 뒤…BMW, 中전기차 배터리공장에 1조9천억원 투자",키워드: BMW/中전기차 배터리공장/투자 / 결과: 긍정
"돈줄 얼어붙은 전기차 배터리 업계, 美공장 투자 등 보류","키워드: 돈줄/전기차/배터리/업계/투자/보류  
결과: 부정"
"본격적 전기차 시대 진입, 충전기가 관건이다","키워드 / 본격적 전기차 시대, 충전기 / 결과 / 긍정"
IRA로 2030년 美승용차 판매 절반 전기차 전망..한국차만 '소외',"키워드: IRA/전기차/판매/한국차/소외  
결과: 부정"
"[ESC] 2022 전기차, 누가 날 막을 것인가",키워드: 전기차/결과: 부정
"대만 폭스콘 회장 ""중국에서 전기차 안 만든다""",키워드: 대만 폭스콘 회장 / 결과: 부정
"대만, 전기차 핵심부품 개발 등에 4년간 2천200억원 지원","키워드: 대만/전기차/핵심부품/개발/지원  
결과: 긍정"
달리던 전기차 또 활활...원인 모를 잇단 화재에 사용자 불안,"키워드: 전기차/화재/사용자 불안  
결과: 부정"
'마이브' 차주에게 물었다..초소형 전기차 타보니 어때요?,"키워드: 마이브/초소형 전기차  
결과: 긍정"
"한미, '전기차 차별' 별도협의체 구성..""최대한 많은 대안 논의""(종합)","키워드: 한미/전기차 차별/별도협의체/구성/대안 논의  
결과: 긍정"
K배터리 막더니...韓 전기차 시장 공략하는 중국,"키워드: K배터리/전기차/시장/중국  
결과: 부정"
"제주도는 어떻게 전기차 '천국'이 됐나…""내년 '시즌 2' 예고""","키워드 / 결과  
제주도, 전기차, 천국, 내년, 시즌 2 / 긍정"
"휴가철 전기차 충전 '바글바글'..""전쟁터였다""","키워드/휴가철 전기차 충전, 바글바글, 전쟁터  
결과/부정"
"소니·혼다 모빌리티, 日 전기차 구원투수 될까","키워드: 소니, 혼다, 모빌리티, 전기차, 구원투수 / 결과: 긍정"
르노+구글+퀄컴의 '전기차'는? 르노 'EV 총력전',"키워드: 르노/ 구글/ 퀄컴/ 전기차/ EV 총력전  
결과: 긍정"
‘토르의 망치’ ‘북유럽 미니멀리즘’ 담은 전기차,"키워드: 토르의 망치/북유럽 미니멀리즘  
결과: 긍정"
"[팩트와이] 국내 전기차 보조금, 테슬라가 쓸어간다?","키워드/결과  
전기차 보조금/부정  
테슬라/부정"
"""테슬라 잡는다""..링컨 전기차 앞세운 포드의 야심찬 전략 [서기열의 실리콘밸리나우]","키워드 / 결과  
테슬라, 링컨, 전기차, 포드, 야심찬 전략 / 긍정"
[김주하의 '그런데'] '한국은 전기차 호구' 아는가?,"키워드: 한국/전기차 호구  
결과: 부정"
발생하면 치명적인 전기차 화재사고...대책 없나?,"키워드: 전기차/화재사고/대책  
결과: 부정"
"전기차 충성도 높다..""美구매자, 휘발유차로 돌아가지 않아""","키워드: 전기차/충성도/높다/미국 구매자/휘발유차/돌아가지 않아  
결과: 긍정"
전기차 보조금 협의 시작한 날 美는 인플레감축법 적극 홍보,키워드: 전기차 보조금/결과: 긍정
한국 전기차 생산 놓고 'GM vs 르노' 엇갈린 입장..왜?,"키워드: 한국 전기차 생산/GM/르노/엇갈린 입장  
결과: 부정"
[하이빔]정비센터 많으면 전기차 보조금을 더?,"키워드 / 결과  
정비센터, 전기차, 보조금 / 긍정"
"""국내 전기차 산업, 교체식 배터리 도입 고려해야""",키워드: 국내 전기차 산업 / 교체식 배터리 도입 / 결과: 부정
WP “미국 전기차 시장 내 중국산 비중 커진다” 경고,"키워드: 미국 전기차 시장/중국산 비중/경고  
결과: 부정"
레이부터 토레스까지.. 전기차로 변신 중,"키워드: 레이/토레스/전기차/변신  
결과: 긍정"
"[단독] LG유플러스, 전기차 충전 사업 본격화…플랫폼 '볼트업' 출시",키워드: LG유플러스/전기차 충전 사업/플랫폼 '볼트업'/결과: 긍정
"대만, 반도체 이어 전기차도? '아이폰' 그 회사 ""테슬라 생산하고파""","키워드: 대만/반도체/전기차/아이폰/테슬라  
결과: 부정"
"추운 날 충전 안되고, 달리다 갑자기 '불'…전기차 운전자들 불안","키워드: 추운 날/충전 안되고/불안  
결과: 부정"
"""오차? 머리카락 10분의 1 굵기도 안돼"" 전기차 진동 잡는 기술","키워드: 오차/머리카락/전기차/진동 잡는 기술  
결과: 부정"
'이러다 기름값 넘볼라 ..' 전기료 인상에 전기차 '빨간등',"키워드: 기름값/전기료 인상/전기차/빨간등  
결과: 부정"
"[시승]욕심 많은 전기차, 볼보차 C40 리차지",키워드: 욕심 많은 전기차 / 결과: 부정
전기차 생태계 빨아들이는 美 IRA..충전기 공장도 미국행 러시,키워드: 전기차 생태계/결과: 긍정
"가장 한국적인 전기차 아이오닉6, 한계를 넘어서다",키워드: 한국적인/전기차/아이오닉6/한계/결과: 긍정
"테슬라, 중국서 전기차 가격 인하..주가 장중 200달러 하회","키워드: 테슬라/중국/전기차/가격 인하/주가 하회  
결과: 부정"
"인도네시아, 도요타 생산공장도 유치..전기차 허브구상 '탄력'",키워드: 인도네시아/도요타/생산공장/전기차 허브구상 / 결과: 긍정
"“美 IRA 전기차 보조금, WTO·FTA 규정 위반 가능성”",키워드: 美 IRA 전기차 보조금 / 결과: 부정
"달릴 때 바퀴 빠지는 도요타 전기차 ""회전력 계산 착오""",키워드: 도요타 전기차/결과: 부정
"정부대표단, 美의 한국산 전기차 보조금 지급 제외 협의차 방미","키워드: 정부대표단/미국/한국산 전기차/보조금 지급 제외  
결과: 부정"
중국인 전기차 사니..'배터리'도 BYD가 LG엔솔 따라잡나? [차이나는 중국],키워드: 중국인 전기차 / 결과: 부정
"[르포]SK온 헝가리공장, 전기차 30만대 공급규모 직접보니","키워드: SK온/헝가리공장/전기차/공급규모  
결과: 긍정"
"美서 전기차 전용기지 첫발..현대차, 미래성장 동력 전환 가속","키워드: 전기차/미래성장 동력 전환  
결과: 긍정"
신차보다 비쌌던 중고 전기차·하이브리드...가격 떨어질까,"키워드 / 결과  
중고 전기차, 하이브리드, 가격 떨어질까 / 부정"
전동화 시대에도 퍼포먼스 포기 못해..줄 잇는 고성능 전기차,"키워드: 전동화 시대/퍼포먼스/고성능 전기차  
결과: 긍정"
“10년 전 전기차 느낌”…그린수소 대전이 시작됐다[딥다이브],"키워드: 전기차/그린수소/대전  
결과: 긍정"
"""전기차 맞아?""..이질감 쏙 뺀 폭스바겐 'ID.4' [신차털기]","키워드: 전기차/폭스바겐 ID.4/이질감  
결과: 긍정"
"옐런 美재무 ""한국측 전기차 우려 고려하겠지만 법대로 시행""",키워드: 옐런/미재무/한국측/전기차/우려/법대로/시행 / 결과: 부정
테슬라와 반대 '가성비' 통했다..무섭게 질주하는 中 전기차,"키워드: 테슬라 / 가성비 / 질주 / 中 전기차  
결과: 부정"
상용차도 '친환경'..수소·전기차 글로벌 시장 누빈다,"키워드: 상용차/친환경/수소/전기차/글로벌 시장  
결과: 긍정"
美언론도 지적한 ‘바이든 실책’…韓 전기차 ‘최악’은 피했다,"키워드: 바이든 실책/韓 전기차/최악  
결과: 부정"
"""히터도 못 틀겠네""…전기차 차주들 겨울철 복병에 '초비상'","키워드: 히터/전기차/겨울철 복병/초비상  
결과: 부정"
아이오닉6·폴스타3…내년 출시될 ‘멋진’ 전기차에 선정,키워드: 아이오닉6·폴스타3/결과: 긍정
[단독]아파트 전기차 화재 진화할 덮개 '전무',키워드 : 아파트 전기차 화재 / 결과 : 부정
[시승기] 빠른데 안락하다..가장 잘 달리는 전기차 EV6 GT,"키워드: 시승기/빠른/안락/잘 달리는/전기차 EV6 GT  
결과: 긍정"
"[시승]전용 전기차 부럽지 않다, 기아 니로 EV","키워드: 전기차/기아 니로 EV  
결과: 긍정"
이 회사가 전기차와 무슨 상관?…충전기 운영사 알고보니,"키워드: 전기차/충전기 운영사  
결과: 부정"
포항제철소 때린 태풍에..하이브리드·전기차 출고 더 늦어지나,키워드: 태풍/하이브리드/전기차/출고 / 결과: 부정
[포켓이슈] 쉽게 안꺼지는 전기차 화재…지하에서 발생한다면?,"키워드/결과  
전기차 화재/부정  
지하에서 발생/부정  "
"통상본부장 ""美측과 '전기차 문제' 조속히 풀 방안 찾기로 합의""",키워드: 전기차 문제/결과: 긍정
미국서 '국내 전기차 구하기' 대작전..윤 대통령 나서나?,키워드: 국내 전기차 구하기/ 결과: 부정
"BMW ""2.4조 투자, 美서 전기차 만든다"".. 獨정부 IRA '작심 비판'","키워드: BMW/2.4조 투자/美/전기차/독정부/IRA/작심 비판  
결과: 부정"
"""中, 전기차 수익성 저하로 하이브리드 재부상""","키워드: 전기차/수익성 저하/하이브리드/재부상  
결과: 부정"
"현대차그룹 美전기차공장 부지정지작업 끝내…""공사 착착 진행""","키워드: 현대차그룹/美전기차공장/부지정지작업/공사 착착 진행  
결과: 긍정"
전기차 배터리 '쾌속 성장'… 소부장 '반사이익',"키워드: 전기차 배터리/쾌속 성장/소부장/반사이익  
결과: 긍정"
현대차 미 전기차 공장 착공..돌파구 없는 'IRA',"키워드: 현대차/미 전기차 공장/착공/돌파구 없는/IRA  
결과: 부정"
베엠베는 왜 영화음악 감독과 계약했나..전기차 '배기음' 전쟁 [ESC],"키워드: 베엠베/영화음악 감독/전기차/배기음 전쟁  
결과: 부정"
[CES 2023] 동박부터 전기차 배터리까지…SK '전기차 생태계' 한자리에,"키워드: CES 2023/동박/전기차 배터리/SK/전기차 생태계  
결과: 긍정"
"전기차 '타이칸' 만든 포르쉐 수장, 주춤하는 폭스바겐 혁신 나선다","키워드: 전기차/타이칸/포르쉐/폭스바겐/혁신  
결과: 긍정"
"전동화 물결 탄 전기차 타이어, 특징과 종류는?","키워드: 전동화 물결/전기차 타이어/특징/종류  
결과: 중립"
[논썰] 미국의 전기차 '뒤통수'에 '허둥지둥' 윤 정부,키워드: 미국 전기차/ 결과: 부정
"국회, '韓전기차 지원 제외' 美인플레감축법 우려 결의안 채택",키워드: 韓전기차 지원 제외/ 결과: 부정
전기차 ‘춘추전국’… 베트남·대만·인도 기업들 테슬라에 도전장,"키워드: 전기차/춘추전국/베트남/대만/인도/기업들/테슬라/도전장  
결과: 긍정"
[팩트와이] 우리나라만 전기차 우대 안 한다?,키워드: 전기차/결과: 부정
"코란도 전기차, 트랙스 후속모델까지…내년도 'SUV 판' 깔린다","키워드/결과  
코란도 전기차, 트랙스 후속모델, 내년도, SUV 판/긍정  "
"전기차 화재 작년 23건, 1년새 2배..아직 미흡한 진압장비",키워드: 전기차 화재/결과: 부정
"50조 쏟아붓고 ""더뎌도 완벽하게""..이 회사 전기차 마인드 괜찮네 [위클리기사단]","키워드: 50조/더뎌도 완벽하게/괜찮네  
결과: 긍정"
"전기차, 부품 40%줄어 인력조정 불가피… 노조 동의없인 못해","키워드 / 결과  
전기차, 부품 줄어, 인력조정, 노조 / 부정"
모델S 출시 10년 - 탄소배출 없는 전기차의 진격,"키워드: 모델S/탄소배출/전기차/진격  
결과: 긍정"
"[사설] 전기차에 흔들리는 한·미 동맹, 미국이 답할 차례다","키워드: 전기차/한·미 동맹/미국  
결과: 부정"
"""내연기관 단종하고 전기차 올인한 베트남 빈패스트 눈여겨봐야""","키워드: 내연기관/전기차/베트남/빈패스트  
결과: 긍정  "
"아이오닉6, 美매체서 '세상에서 가장 쿨한 전기차' 선정","키워드: 아이오닉6/세상에서 가장 쿨한 전기차  
결과: 긍정"
①전기차 급증하는데 독 품은 배터리 어쩌나,"키워드: 전기차 급증/배터리 부정  
결과: 부정"
'전기차 차별'에 한미 경제협력 차질?..'칩4 회의' 개최 늦어져,"키워드: 전기차 차별/ 한미 경제협력/ 차질/ 칩4 회의/ 개최 늦어져  
결과: 부정"
국산 전기차 내수판매 '역대 최고'…아이오닉6 인기,"키워드: 국산 전기차/내수판매/역대 최고/아이오닉6/인기  
결과: 긍정"
쏠쏠한 돈 되는 전기차 폐배터리..여기 거치면 전기자전거 부활,"키워드: 쏠쏠한 돈, 전기차 폐배터리, 전기자전거 부활 / 결과: 긍정"
아이폰 떠오른다..'프렁크' 없앤 1억 전기차 벤츠 EQE 타보니,"키워드: 아이폰/프렁크/전기차/벤츠 EQE  
결과: 부정"
'-7℃' 기온 뚝 떨어지니 전기차 주행거리 '52㎞' 사라졌다,"키워드: 기온 떨어짐/주행거리 감소  
결과: 부정"
외통·산자위 '韓전기차 지원 제외' 美인플레감축법 우려 결의안(종합),"키워드: 韓전기차 지원 제외/결의안, 우려  
결과: 부정"
[시승기] 아우디 ‘Q4 e-트론’ | 급가속·급정거 없는 아우디 전기차,"키워드: 아우디/Q4 e-트론/급가속/급정거/전기차  
결과: 긍정"
"韓 ""전기차 차별로 협력 동력 약화""..美 ""해법 모색 지속 협의""","키워드: 전기차 차별/협력 동력 약화/해법 모색 지속 협의  
결과: 부정/부정/중립"
"도요타 사장 ""전기차? 정답은 아직 불분명…조용한 다수는 의문""","키워드: 도요타 사장/전기차/정답/불분명/조용한 다수/의문  
결과: 부정"
"BMW, 美전기차 시설에 2조4천억원 투자..獨, IRA에 불만 토로","키워드: BMW/미국/전기차/시설/투자/독일/IRA/불만  
결과: 부정"
한국산 전기차도 '리스 차량'은 美인플레법 보조금 받는다,"키워드 / 결과  
한국산 전기차 / 긍정  
리스 차량 / 긍정  
美인플레법 보조금 / 긍정"
유럽서 잘 나간 이유 있네…전기차 같은 하이브리드 [시승기],"키워드: 유럽/잘 나간 이유/전기차/하이브리드  
결과: 긍정"
충전보다 기름 넣는 게 이득…유럽서 잘 나갔던 전기차 '급제동',"키워드: 충전, 기름, 이득, 유럽, 전기차, 급제동 / 결과: 부정"
